record_type,N,z,first_x,first_y,offset,ratio
first_x,6,2,3,3,1,1.5
offset,6,2,3,3,1,1.5
ratio,6,2,3,3,1,1.5
first_x,10,3,5,5,2,1.66666666667
offset,10,3,5,5,2,1.66666666667
ratio,10,3,5,5,2,1.66666666667
first_x,14,3,7,7,4,2.33333333333
offset,14,3,7,7,4,2.33333333333
ratio,14,3,7,7,4,2.33333333333
first_x,28,5,11,17,6,2.2
offset,28,5,11,17,6,2.2
first_x,32,5,13,19,8,2.6
offset,32,5,13,19,8,2.6
ratio,32,5,13,19,8,2.6
first_x,46,6,17,29,11,2.83333333333
offset,46,6,17,29,11,2.83333333333
ratio,46,6,17,29,11,2.83333333333
first_x,62,7,19,43,12,2.71428571429
offset,62,7,19,43,12,2.71428571429
first_x,68,8,31,37,23,3.875
offset,68,8,31,37,23,3.875
ratio,68,8,31,37,23,3.875
first_x,206,14,43,163,29,3.07142857143
offset,206,14,43,163,29,3.07142857143
first_x,328,18,47,281,29,2.61111111111
first_x,512,22,73,439,51,3.31818181818
offset,512,22,73,439,51,3.31818181818
first_x,626,25,79,547,54,3.16
offset,626,25,79,547,54,3.16
first_x,1022,31,103,919,72,3.32258064516
offset,1022,31,103,919,72,3.32258064516
first_x,1126,33,107,1019,74,3.24242424242
offset,1126,33,107,1019,74,3.24242424242
first_x,1412,37,109,1303,72,2.94594594595
first_x,1732,41,113,1619,72,2.75609756098
first_x,1852,43,131,1721,88,3.04651162791
offset,1852,43,131,1721,88,3.04651162791
first_x,2522,50,139,2383,89,2.78
offset,2522,50,139,2383,89,2.78
first_x,2558,50,181,2377,131,3.62
offset,2558,50,181,2377,131,3.62
first_x,3938,62,199,3739,137,3.20967741935
offset,3938,62,199,3739,137,3.20967741935
first_x,5468,73,241,5227,168,3.30136986301
offset,5468,73,241,5227,168,3.30136986301
first_x,6128,78,271,5857,193,3.47435897436
offset,6128,78,271,5857,193,3.47435897436
first_x,7244,85,277,6967,192,3.25882352941
first_x,13268,115,349,12919,234,3.0347826087
offset,13268,115,349,12919,234,3.0347826087
first_x,19046,138,367,18679,229,2.65942028986
first_x,31832,178,439,31393,261,2.46629213483
offset,31832,178,439,31393,261,2.46629213483
first_x,37384,193,461,36923,268,2.38860103627
offset,37384,193,461,36923,268,2.38860103627
first_x,54496,233,503,53993,270,2.15879828326
offset,54496,233,503,53993,270,2.15879828326
first_x,60356,245,523,59833,278,2.13469387755
offset,60356,245,523,59833,278,2.13469387755
first_x,61708,248,557,61151,309,2.24596774194
offset,61708,248,557,61151,309,2.24596774194
first_x,66662,258,733,65929,475,2.84108527132
offset,66662,258,733,65929,475,2.84108527132
first_x,162758,403,751,162007,348,1.8635235732
first_x,162794,403,787,162007,384,1.95285359801
first_x,178162,422,839,177323,417,1.98815165877
first_x,202816,450,863,201953,413,1.91777777778
first_x,239816,489,877,238939,388,1.79345603272
first_x,254752,504,881,253871,377,1.74801587302
first_x,268978,518,887,268091,369,1.71235521236
first_x,274048,523,941,273107,418,1.79923518164
first_x,277022,526,1093,275929,567,2.07794676806
offset,277022,526,1093,275929,567,2.07794676806
first_x,310894,557,1097,309797,540,1.96947935368
first_x,407776,638,1103,406673,465,1.72884012539
first_x,424582,651,1151,423431,500,1.76804915515
first_x,431228,656,1171,430057,515,1.78506097561
first_x,453286,673,1259,452027,586,1.87072808321
offset,453286,673,1259,452027,586,1.87072808321
first_x,585308,765,1297,584011,532,1.6954248366
first_x,667672,817,1319,666353,502,1.61444308446
first_x,677672,823,1453,676219,630,1.76549210207
offset,677672,823,1453,676219,630,1.76549210207
first_x,816416,903,1489,814927,586,1.64894795127
first_x,846764,920,1567,845197,647,1.70326086957
offset,846764,920,1567,845197,647,1.70326086957
first_x,943984,971,1583,942401,612,1.63027806385
first_x,1056388,1027,1619,1054769,592,1.57643622201
first_x,1223414,1106,1621,1221793,515,1.46564195298
first_x,1254662,1120,1699,1252963,579,1.51696428571
first_x,1314428,1146,1747,1312681,601,1.52443280977
first_x,1418398,1190,1811,1416587,621,1.5218487395
first_x,1528292,1236,1861,1526431,625,1.50566343042
first_x,1646368,1283,1871,1644497,588,1.45830085737
first_x,1658926,1287,1877,1657049,590,1.45843045843
first_x,1663504,1289,2063,1661441,774,1.60046547711
offset,1663504,1289,2063,1661441,774,1.60046547711
first_x,2072602,1439,2069,2070533,630,1.43780403058
first_x,2109256,1452,2153,2107103,701,1.48278236915
first_x,2285212,1511,2411,2282801,900,1.59563203177
offset,2285212,1511,2411,2282801,900,1.59563203177
first_x,2959046,1720,2647,2956399,927,1.53895348837
offset,2959046,1720,2647,2956399,927,1.53895348837
first_x,3284186,1812,2683,3281503,871,1.48068432671
first_x,3502988,1871,2719,3500269,848,1.45323356494
first_x,4056886,2014,2897,4053989,883,1.43843098312
first_x,4269112,2066,2963,4266149,897,1.43417231365
first_x,4333232,2081,3001,4330231,920,1.44209514656
first_x,4904612,2214,3169,4901443,955,1.43134598013
offset,4904612,2214,3169,4901443,955,1.43134598013
first_x,5482898,2341,3187,5479711,846,1.36138402392
first_x,5617354,2370,3203,5614151,833,1.35147679325
first_x,5642012,2375,3259,5638753,884,1.37221052632
